Guassian index number,Protein_number,Replicate,Protein name,Height,Center,Width,SSE,adjrsquare,Complex size,expt_name
1998,1507,12,P63173,2767263.8071,12.7012,3.2473,7857504607358.32,0.9752,0,kirkwood_rep3
1999,1507,12,P63173,2499799.2823,19.0329,2.6013,7857504607358.32,0.9752,0,kirkwood_rep3
2000,1507,12,P63173,6555078.8515,5.9555,3.9044,7857504607358.32,0.9752,0,kirkwood_rep3
2001,1508,12,P63208,40742461.8565,37.2267,2.6935,167778919981183,0.9731,0,kirkwood_rep3
2002,1508,12,P63208,36699244.9972,28.3029,7.6636,167778919981183,0.9731,0,kirkwood_rep3
2003,1508,12,P63208,29512659.1221,27.6141,-1.9917,167778919981183,0.9731,0,kirkwood_rep3
2004,1509,12,P63220,29272887.3632,32.7365,4.3171,327866166712025,0.9355,0,kirkwood_rep3
2005,1509,12,P63220,29596232.3723,24.6704,1.7573,327866166712025,0.9355,0,kirkwood_rep3
2006,1510,12,P63241,595984737.0128,30.7039,2.4061,1.95901102512782E+015,0.9915,0,kirkwood_rep3
2007,1511,12,P63244,465668033.1271,28.7837,5.0651,4966839223187859,0.8833,0,kirkwood_rep3
2008,1511,12,P63244,958033760.0202,30.5419,1.8279,4966839223187859,0.8833,0,kirkwood_rep3
2009,1511,12,P63244,290715488.5111,33.7599,2.8068,4966839223187859,0.8833,0,kirkwood_rep3
2010,1512,12,P63261,4750227699.4381,31.5795,6.0713,1.7695702797863E+019,0.879,0,kirkwood_rep3
2011,1513,12,P63267,702894760.9122,36.4034,2.0941,1.75299520750657E+017,0.9679,0,kirkwood_rep3
2012,1513,12,P63267,1693799811.8527,29.3375,2.9602,1.75299520750657E+017,0.9679,0,kirkwood_rep3
2013,1514,12,P63279,185390726.5187,32.4876,2.0681,14174172089888.3,0.9972,0,kirkwood_rep3
2014,1515,12,P63313,844661980.7009,30.4297,1.7851,2.67138981390875E+016,0.9918,0,kirkwood_rep3
2015,1515,12,P63313,861945365.6729,33.2463,1.6008,2.67138981390875E+016,0.9918,0,kirkwood_rep3
2016,1516,12,P67775,34150458.0705,23.3234,2.2185,22526358456404.9,0.99,0,kirkwood_rep3
